pwsid,pop_served,years_in_violation
AL0000002,1494,0
AL0000003,1440,0
AL0000013,8670,0
AL0000017,46614,0
AL0000023,28713,0
AL0000025,17268,0
AL0000028,1266,0
AL0000029,33372,0
AL0000035,59850,0
AL0000036,50919,0
AL0000038,40947,0
AL0000048,10104,0
AL0000053,17796,0
AL0000061,13242,0
AL0000065,2058,0
AL0000068,10161,0
AL0000073,1800,0
AL0000079,7056,0
AL0000081,636,0
AL0000082,2064,0
AL0000083,2832,0
AL0000085,17970,0
AL0000087,1395,0
AL0000088,1350,0
AL0000089,660,1
AL0000091,7050,0
AL0000092,5985,0
AL0000093,8631,0
AL0000095,1308,0
AL0000097,4629,1
AL0000098,861,0
AL0000100,4266,0
AL0000101,3516,0
AL0000102,2631,0
AL0000103,19971,0
AL0000104,6330,0
AL0000108,6111,0
AL0000116,867,0
AL0000117,8931,0
AL0000118,3945,0
AL0000122,3288,0
AL0000123,2889,1
AL0000125,9336,0
AL0000128,1170,0
AL0000131,32796,0
AL0000133,56646,0
AL0000149,633,0
AL0000154,14217,0
AL0000161,1680,0
AL0000162,31239,1
AL0000164,8073,0
AL0000168,7050,0
AL0000174,17532,0
AL0000177,6795,0
AL0000178,4047,0
AL0000179,7152,0
AL0000180,10389,1
AL0000184,32,0
AL0000187,4875,0
AL0000188,7050,0
AL0000189,11013,0
AL0000213,13500,0
AL0000219,4365,0
AL0000221,1119,0
AL0000229,3579,0
AL0000232,4590,1
AL0000233,819,0
AL0000234,27681,0
AL0000237,8157,3
AL0000243,3450,0
AL0000244,1080,0
AL0000245,1269,0
AL0000252,2730,1
AL0000254,534,0
AL0000255,5280,0
AL0000256,11715,0
AL0000257,5145,0
AL0000262,6897,0
AL0000264,2925,0
AL0000266,2751,0
AL0000268,3420,0
AL0000270,1545,1
AL0000277,585,0
AL0000279,4590,0
AL0000283,2061,0
AL0000295,5361,1
AL0000296,48000,0
AL0000298,1335,0
AL0000299,2415,0
AL0000302,4185,0
AL0000311,1992,0
AL0000314,13395,0
AL0000316,4035,0
AL0000318,1242,1
AL0000319,1203,1
AL0000320,3576,0
AL0000321,22467,0
AL0000327,13758,1
AL0000329,5520,0
AL0000331,14400,0
AL0000337,894,0
AL0000338,4950,0
AL0000339,975,0
AL0000341,1506,0
AL0000344,510,1
AL0000351,2550,1
AL0000352,2010,1
AL0000353,3759,0
AL0000354,5067,0
AL0000356,15251,0
AL0000361,13224,0
AL0000363,3834,0
AL0000364,801,0
AL0000368,450,0
AL0000372,726,0
AL0000375,10266,0
AL0000378,855,0
AL0000379,1050,0
AL0000384,498,0
AL0000385,1458,0
AL0000387,498,0
AL0000388,318,0
AL0000390,3903,0
AL0000392,789,0
AL0000393,3300,0
AL0000394,56628,0
AL0000397,6075,0
AL0000398,32,0
AL0000402,13284,0
AL0000404,798,0
AL0000406,6042,0
AL0000408,3594,0
AL0000409,5220,0
AL0000413,17466,0
AL0000414,1317,0
AL0000415,7779,0
AL0000416,1263,1
AL0000420,10014,0
AL0000436,3819,0
AL0000438,3300,0
AL0000439,2466,0
AL0000441,19965,0
AL0000443,1377,0
AL0000463,4152,0
AL0000482,8838,0
AL0000484,435,0
AL0000490,21834,0
AL0000491,3747,0
AL0000500,3504,0
AL0000506,3945,0
AL0000508,1998,0
AL0000509,25107,0
AL0000523,3075,0
AL0000533,5094,0
AL0000535,13680,0
