county_fips,specific_yield_kwh_kwp,irradiation_kwh_m2
13143,1373.1,1867.9
13145,1415.3,1939.2
13147,1415.6,1931.2
13149,1390.9,1897.4
13151,1413.7,1921.7
13153,1435.2,1966.6
13155,1464.1,2003.5
13157,1397.6,1907.9
13159,1412.5,1935.7
13161,1444.6,1982.6
13163,1441.9,1969.0
13165,1441.3,1968.6
13167,1435.1,1964.7
13169,1421.4,1950.6
13171,1417.3,1938.8
13173,1461.3,2019.1
13175,1430.8,1961.2
13177,1451.2,1988.7
13179,1422.7,1954.5
13181,1409.7,1929.7
13183,1415.9,1949.0
13185,1449.7,2003.9
13187,1367.5,1854.3
13189,1419.1,1937.8
13191,1453.8,1962.7
13193,1423.4,1949.2
13195,1408.1,1923.6
13197,1425.5,1953.0
13199,1409.1,1924.6
13201,1453.5,1991.7
13205,1457.6,2000.8
13207,1419.5,1945.1
13209,1439.6,1975.6
13211,1403.8,1919.6
13213,1324.2,1802.6
13215,1406.3,1930.5
13217,1408.2,1919.0
13219,1411.7,1926.8
13221,1398.9,1912.0
13223,1377.8,1869.9
13225,1428.2,1954.7
13227,1328.3,1806.2
13229,1427.1,1967.7
13231,1412.2,1931.6
13233,1377.1,1871.8
13235,1451.4,1989.7
13237,1413.8,1938.7
13239,1427.4,1965.9
13241,1380.5,1863.8
13243,1441.6,1980.3
13245,1420.3,1937.7
13247,1414.7,1918.8
13249,1429.6,1959.0
13251,1429.2,1954.5
13253,1459.9,2007.4
13255,1422.2,1941.1
13257,1407.7,1923.0
13259,1427.1,1962.9
13261,1441.3,1974.6
13263,1424.6,1954.4
13265,1408.5,1926.6
13267,1441.8,1978.2
13269,1418.8,1939.5
13271,1442.2,1985.1
13273,1446.8,1987.2
13275,1440.9,1985.0
13277,1479.9,2023.9
13279,1439.0,1972.9
13281,1365.0,1834.7
13283,1435.8,1968.7
13285,1400.5,1914.4
13287,1458.4,1991.8
13289,1418.9,1946.2
13291,1367.9,1835.0
13293,1400.8,1921.5
13295,1336.2,1813.8
13297,1405.3,1912.1
13299,1417.9,1964.9
13301,1427.7,1951.5
13303,1444.8,1979.3
13305,1419.0,1954.1
13307,1440.5,1978.3
13309,1428.4,1961.0
13311,1361.1,1840.8
13313,1325.7,1806.2
13315,1455.7,1986.9
13317,1415.0,1938.3
13319,1423.1,1955.7
13321,1452.9,1987.9
15001,1766.4,2364.8
15003,1494.2,2001.5
15007,1367.3,1849.2
15009,1195.1,1600.8
16001,1485.1,1981.6
16003,1303.5,1737.5
16005,1374.2,1825.4
16007,1370.0,1812.4
16009,1161.6,1550.0
16011,1438.9,1914.7
16013,1471.3,1933.7
16015,1361.4,1809.8
16017,987.6,1334.5
16019,1281.2,1687.1
16021,1064.0,1392.9
16023,1362.2,1804.6
16025,1414.7,1855.2
16027,1436.7,1948.8
16029,1312.8,1741.8
16031,1328.0,1761.7
16033,1358.7,1797.9
16035,1146.2,1530.2
16037,1419.6,1841.2
16039,1451.8,1915.4
16041,1365.5,1832.6
16043,1303.9,1717.1
16045,1383.5,1869.9
16047,1528.9,2039.7
16049,1195.6,1583.6
16051,1434.1,1904.4
16053,1509.8,2020.8
16055,1148.5,1539.4
16057,1205.0,1612.4
16059,1372.9,1782.8
16061,1215.6,1614.2
16063,1521.2,2014.5
16065,1333.4,1781.7
16067,1511.4,2006.8
16069,1230.2,1650.4
16071,1408.1,1866.0
16073,1488.7,1939.7
16075,1416.6,1923.7
16077,1392.7,1841.1
16079,1080.9,1443.0
16081,1292.1,1686.8
16083,1507.9,1981.2
16085,1212.5,1589.9
16087,1352.0,1822.7
17001,1333.9,1765.7
17003,1334.0,1797.3
17005,1332.7,1779.7
17007,1286.1,1675.3
17009,1333.2,1763.5
17011,1308.4,1708.4
17013,1336.9,1785.9
17015,1297.6,1701.4
17017,1327.7,1757.9
17019,1308.3,1716.6
17021,1332.0,1762.8
17023,1296.3,1720.5
17025,1314.5,1757.9
17027,1343.8,1797.1
17029,1305.0,1722.0
17031,1270.6,1652.1
17033,1301.7,1733.6
17035,1303.3,1732.2
17037,1293.5,1683.9
17039,1315.6,1728.7
17041,1313.0,1728.8
17043,1279.0,1671.9
17045,1301.4,1718.8
17047,1312.7,1756.0
17049,1304.9,1740.2
17051,1323.2,1764.1
17053,1309.4,1714.0
17055,1332.0,1786.8
17057,1313.7,1736.6
17059,1326.6,1783.1
17061,1341.8,1783.8
17063,1301.1,1701.8
17065,1337.7,1793.9
17067,1327.9,1754.8
17069,1331.9,1800.9
17071,1324.5,1740.2
17073,1307.8,1712.8
17075,1296.9,1698.5
17077,1330.9,1788.8
17079,1308.5,1743.0
17081,1329.4,1780.5
17083,1345.3,1790.3
17085,1292.9,1699.0
17087,1326.7,1790.8
17089,1281.7,1669.6
17091,1295.1,1693.5
17093,1289.8,1686.1
17095,1308.6,1716.7
17097,1298.4,1681.5
17099,1305.1,1706.2
17101,1302.6,1740.1
17103,1302.7,1697.9
17105,1307.8,1711.4
17107,1319.5,1737.0
17109,1329.5,1751.9
17111,1279.7,1668.0
17113,1322.0,1730.9
17115,1330.0,1750.1
17117,1337.3,1775.3
17119,1340.0,1790.2
17121,1328.5,1775.6
17123,1318.2,1729.0
17125,1324.5,1749.7
17127,1335.4,1806.0
17129,1328.3,1753.5
17131,1316.3,1727.4
17133,1352.0,1814.6
17135,1329.7,1765.2
17137,1347.4,1781.6
17139,1326.0,1747.1
17141,1295.3,1687.7
17143,1313.9,1726.9
17145,1338.3,1794.8
17147,1322.0,1736.4
17149,1338.1,1773.7
17151,1326.6,1792.5
17153,1338.8,1806.5
17155,1293.4,1699.0
17157,1343.1,1804.8
17159,1307.7,1748.6
17161,1325.1,1734.2
17163,1349.2,1804.4
17165,1325.7,1783.8
17167,1334.7,1762.5
17169,1330.0,1757.5
17171,1330.1,1763.1
17173,1310.6,1738.6
17175,1316.2,1724.9
17177,1288.6,1683.6
17179,1320.5,1738.4
17181,1331.5,1795.9
17183,1290.1,1693.9
17185,1316.1,1759.7
17187,1319.4,1731.0
17189,1343.4,1799.6
17191,1322.2,1770.6
17193,1330.2,1783.5
17195,1300.9,1699.8
17197,1273.5,1666.8
17199,1332.3,1791.6
17201,1283.5,1675.8
17203,1312.2,1722.4
18001,1248.5,1637.9
18003,1256.7,1648.0
18005,1280.8,1706.1
18007,1292.6,1692.5
18009,1255.4,1645.9
18011,1282.5,1685.9
18013,1275.6,1710.5
18015,1272.1,1669.8
18017,1261.7,1655.0
18019,1277.4,1720.3
18021,1285.3,1711.2
18023,1282.7,1682.5
18025,1283.0,1729.6
18027,1284.4,1719.7
18029,1267.2,1692.2
18031,1267.4,1678.9
18033,1229.2,1614.5
18035,1275.7,1673.2
18037,1281.5,1725.3
18039,1222.7,1602.3
18041,1271.1,1680.2
18043,1288.5,1732.9
18045,1289.3,1700.8
18047,1272.6,1691.5
18049,1254.7,1646.0
18051,1309.9,1753.1
18053,1261.3,1653.8
18055,1281.4,1711.0
18057,1290.9,1699.5
18059,1280.9,1686.9
18061,1291.0,1741.8
18063,1276.7,1689.4
18065,1258.9,1653.7
18067,1267.1,1661.7
18069,1245.6,1633.5
18071,1266.8,1700.9
18073,1281.2,1675.7
18075,1255.2,1645.6
18077,1274.3,1706.4
18079,1269.4,1697.3
18081,1289.6,1714.6
18083,1302.8,1740.1
18085,1238.5,1622.9
18087,1231.4,1613.5
18089,1277.1,1669.4
18091,1221.7,1608.2
18093,1278.3,1717.7
18095,1258.0,1655.4
18097,1274.1,1685.8
18099,1242.7,1627.6
18101,1281.9,1722.2
18103,1258.2,1650.7
18105,1270.6,1703.3
18107,1286.1,1692.4
18109,1279.3,1707.9
18111,1289.4,1687.6
18113,1232.6,1615.8
18115,1258.8,1689.8
18117,1278.3,1719.5
18119,1281.1,1711.2
18121,1278.5,1697.2
18123,1291.3,1742.8
18125,1296.6,1736.0
18127,1232.6,1610.0
18129,1318.1,1766.8
18131,1268.2,1660.3
18133,1274.0,1692.1
18135,1272.6,1667.8
18137,1269.0,1688.4
18139,1275.9,1682.0
18141,1220.3,1603.2
