building_type,climate_zone,vintage_bin,eui_kbtu_sqft_yr
mf_5plus,3C,1950_1979,35.0
mf_5plus,3C,1980_1999,29.3
mf_5plus,3C,2000_2009,28.7
mf_5plus,3C,2010_plus,26.7
mf_5plus,3C,unknown,32.2
mf_5plus,4,pre_1950,65.0
mf_5plus,4,1950_1979,52.3
mf_5plus,4,1980_1999,40.0
mf_5plus,4,2000_2009,35.0
mf_5plus,4,2010_plus,34.2
mf_5plus,4,unknown,46.9
mf_5plus,4A,pre_1950,65.8
mf_5plus,4A,1950_1979,53.8
mf_5plus,4A,1980_1999,41.4
mf_5plus,4A,2000_2009,35.6
mf_5plus,4A,2010_plus,34.8
mf_5plus,4A,unknown,48.6
mf_5plus,4B,1950_1979,46.7
mf_5plus,4B,1980_1999,38.5
mf_5plus,4B,2000_2009,33.7
mf_5plus,4B,unknown,40.7
mf_5plus,4C,pre_1950,47.4
mf_5plus,4C,1950_1979,41.7
mf_5plus,4C,1980_1999,32.9
mf_5plus,4C,2000_2009,32.0
mf_5plus,4C,2010_plus,30.2
mf_5plus,4C,unknown,35.7
mf_5plus,5,pre_1950,68.7
mf_5plus,5,1950_1979,58.1
mf_5plus,5,1980_1999,47.4
mf_5plus,5,2000_2009,39.8
mf_5plus,5,2010_plus,37.0
mf_5plus,5,unknown,52.3
mf_5plus,5A,pre_1950,69.0
mf_5plus,5A,1950_1979,59.1
mf_5plus,5A,1980_1999,48.1
mf_5plus,5A,2000_2009,40.5
mf_5plus,5A,2010_plus,37.4
mf_5plus,5A,unknown,53.7
mf_5plus,5B,pre_1950,59.1
mf_5plus,5B,1950_1979,51.5
mf_5plus,5B,1980_1999,43.0
mf_5plus,5B,2000_2009,38.1
mf_5plus,5B,2010_plus,35.7
mf_5plus,5B,unknown,44.3
mf_5plus,6,pre_1950,79.0
mf_5plus,6,1950_1979,64.8
mf_5plus,6,1980_1999,53.0
mf_5plus,6,2000_2009,47.3
mf_5plus,6,2010_plus,42.3
mf_5plus,6,unknown,56.7
mf_5plus,6A,pre_1950,78.5
mf_5plus,6A,1950_1979,65.6
mf_5plus,6A,1980_1999,53.7
mf_5plus,6A,2000_2009,48.1
mf_5plus,6A,2010_plus,42.5
mf_5plus,6A,unknown,57.4
mf_5plus,6B,pre_1950,82.1
mf_5plus,6B,1950_1979,59.1
mf_5plus,6B,1980_1999,47.8
mf_5plus,6B,2000_2009,43.4
mf_5plus,6B,2010_plus,36.1
mf_5plus,6B,unknown,49.9
mf_5plus,7,pre_1950,76.3
mf_5plus,7,1950_1979,67.3
mf_5plus,7,1980_1999,48.7
mf_5plus,7,2000_2009,45.1
mf_5plus,7,2010_plus,37.8
mf_5plus,7,unknown,54.3
mf_5plus,7A,pre_1950,81.4
mf_5plus,7A,1950_1979,74.8
mf_5plus,7A,1980_1999,57.3
mf_5plus,7A,2000_2009,50.8
mf_5plus,7A,2010_plus,37.8
mf_5plus,7A,unknown,59.1
mf_5plus,7B,1950_1979,38.7
mf_5plus,7B,1980_1999,25.8
mf_5plus,7B,unknown,31.9
mobile_home,1,1950_1979,38.6
mobile_home,1,1980_1999,28.9
mobile_home,1,unknown,32.3
mobile_home,1A,1950_1979,38.6
mobile_home,1A,1980_1999,28.9
mobile_home,1A,unknown,32.3
mobile_home,2,1950_1979,39.5
mobile_home,2,1980_1999,34.4
mobile_home,2,2000_2009,30.7
mobile_home,2,2010_plus,33.0
mobile_home,2,unknown,34.5
mobile_home,2A,1950_1979,38.8
mobile_home,2A,1980_1999,34.0
mobile_home,2A,2000_2009,30.5
mobile_home,2A,2010_plus,33.4
mobile_home,2A,unknown,34.0
mobile_home,2B,1950_1979,44.2
mobile_home,2B,1980_1999,37.2
mobile_home,2B,2000_2009,32.5
mobile_home,2B,2010_plus,29.2
mobile_home,2B,unknown,37.6
mobile_home,3,pre_1950,55.6
mobile_home,3,1950_1979,52.8
mobile_home,3,1980_1999,40.1
mobile_home,3,2000_2009,34.1
mobile_home,3,2010_plus,34.4
mobile_home,3,unknown,41.2
mobile_home,3A,1950_1979,52.2
mobile_home,3A,1980_1999,40.2
mobile_home,3A,2000_2009,34.7
mobile_home,3A,2010_plus,34.3
mobile_home,3A,unknown,40.3
mobile_home,3B,1950_1979,54.5
mobile_home,3B,1980_1999,40.5
mobile_home,3B,2000_2009,31.8
mobile_home,3B,2010_plus,33.4
mobile_home,3B,unknown,45.1
mobile_home,3C,1950_1979,51.5
mobile_home,3C,1980_1999,32.0
mobile_home,3C,2000_2009,29.7
mobile_home,3C,unknown,41.9
mobile_home,4,pre_1950,80.4
mobile_home,4,1950_1979,63.0
mobile_home,4,1980_1999,45.4
mobile_home,4,2000_2009,37.2
mobile_home,4,2010_plus,37.1
mobile_home,4,unknown,46.6
mobile_home,4A,1950_1979,65.2
mobile_home,4A,1980_1999,45.6
mobile_home,4A,2000_2009,37.1
mobile_home,4A,2010_plus,37.5
mobile_home,4A,unknown,46.3
mobile_home,4B,1950_1979,63.5
mobile_home,4B,1980_1999,50.7
mobile_home,4B,2000_2009,45.8
mobile_home,4B,unknown,51.8
mobile_home,4C,1950_1979,58.7
mobile_home,4C,1980_1999,42.9
mobile_home,4C,2000_2009,33.0
mobile_home,4C,unknown,46.3
mobile_home,5,pre_1950,103.6
mobile_home,5,1950_1979,89.1
mobile_home,5,1980_1999,66.5
mobile_home,5,2000_2009,48.0
mobile_home,5,2010_plus,48.2
mobile_home,5,unknown,68.6
mobile_home,5A,pre_1950,105.0
mobile_home,5A,1950_1979,95.8
mobile_home,5A,1980_1999,70.5
mobile_home,5A,2000_2009,49.1
mobile_home,5A,2010_plus,49.2
mobile_home,5A,unknown,73.7
mobile_home,5B,1950_1979,71.7
mobile_home,5B,1980_1999,55.7
mobile_home,5B,2000_2009,42.7
mobile_home,5B,2010_plus,44.8
mobile_home,5B,unknown,57.6
mobile_home,6,1950_1979,98.9
mobile_home,6,1980_1999,70.9
mobile_home,6,2000_2009,54.6
mobile_home,6,2010_plus,49.3
mobile_home,6,unknown,74.2
mobile_home,6A,1950_1979,103.8
mobile_home,6A,1980_1999,71.3
mobile_home,6A,2000_2009,55.4
mobile_home,6A,2010_plus,48.0
mobile_home,6A,unknown,75.0
mobile_home,6B,1950_1979,85.9
mobile_home,6B,1980_1999,68.6
mobile_home,6B,2000_2009,49.8
mobile_home,6B,unknown,71.3
mobile_home,7,1950_1979,105.5
mobile_home,7,1980_1999,78.1
mobile_home,7,2000_2009,61.5
mobile_home,7,unknown,82.2
mobile_home,7A,1950_1979,100.8
mobile_home,7A,1980_1999,76.9
mobile_home,7A,2000_2009,62.3
mobile_home,7A,unknown,81.5
mobile_home,7B,unknown,85.2
