geoid,median_gross_rent,resolved
35007,729,county
35009,1024,county
35011,387,county
35013,934,county
35015,1245,county
35017,825,county
35019,590,county
35021,1038,county
35023,814,county
35025,1101,county
35027,956,county
35028,1375,county
35029,650,county
35031,859,county
35033,887,county
35035,962,county
35037,712,county
35039,740,county
35041,898,county
35043,1427,county
35045,956,county
35047,823,county
35049,1389,county
35051,729,county
35053,691,county
35055,1034,county
35057,872,county
35059,683,county
35061,1015,county
36001,1313,county
36003,763,county
36005,1458,county
36007,941,county
36009,770,county
36011,942,county
36013,812,county
36015,1059,county
36017,875,county
36019,1003,county
36021,1260,county
36023,984,county
36025,880,county
36027,1582,county
36029,1090,county
36031,934,county
36033,843,county
36035,912,county
36037,929,county
36039,1004,county
36041,912,county
36043,823,county
36045,1213,county
36047,1833,county
36049,837,county
36051,931,county
36053,928,county
36055,1173,county
36057,940,county
36059,2252,county
36061,2197,county
36063,899,county
36065,944,county
36067,1108,county
36069,1150,county
36071,1680,county
36073,874,county
36075,967,county
36077,987,county
36079,1775,county
36081,1956,county
36083,1217,county
36085,1733,county
36087,1901,county
36089,818,county
36091,1394,county
36093,1194,county
36095,909,county
36097,899,county
36099,957,county
36101,894,county
36103,2255,county
36105,1106,county
36107,928,county
36109,1411,county
36111,1425,county
36113,1105,county
36115,1033,county
36117,938,county
36119,1951,county
36121,802,county
36123,834,county
37001,1064,county
37003,764,county
37005,675,county
37007,814,county
37009,859,county
37011,773,county
37013,871,county
37015,839,county
37017,773,county
37019,1351,county
37021,1362,county
37023,884,county
37025,1414,county
37027,744,county
37029,1232,county
37031,1108,county
37033,727,county
37035,965,county
